#,SCG Bibtex,Type,Title,First Author,Second Author,Third Author,Fourth Author,Fifth Author,Sixth Author,Seven Author,Eighth Author,Nineth Author,Tenth Author,Eleventh Author,Twelveth Author,Year,Venue
134,Albr10a,Paper,An automatic layout algorithm for BPEL processes,"Albrecht, B.","Effinger, P.","Held, M.","Kaufmann, M.",,,,,,,,,2010,SOFTVIS
135,Beck10b,Paper,Visual comparison of software architectures,"Beck, F.","Diehl, S.",,,,,,,,,,,2010,SOFTVIS
136,Stein10a,Paper,Representing development history in software cities,"Steinbruckner, F.","Lewerentz, C.",,,,,,,,,,,2010,SOFTVIS
137,Kerr10a,Poster,3D kiviat diagrams for the interactive analysis of software metric trends,"Kerren, A.","Jusufi, I.",,,,,,,,,,,2010,SOFTVIS
138,Meda10a,Poster,Graph works - pilot graph theory visualization tool,"Medani, D.","Haggard, G.","Bassett, C.","Koch, P.","Lampert, N.","Medlock, T.","Pierce, S.","Smith, R.","Yehl, A.",,,,2010,SOFTVIS
139,Zeck10a,Poster,Visualizing software entities using a matrix layout,"Zeckzer, D.",,,,,,,,,,,,2010,SOFTVIS
140,Foll10a,Poster,ImpactViz: visualizing class dependencies and the impact of changes in software revisions,"Follett, M.","Hoeber, O.",,,,,,,,,,,2010,SOFTVIS
141,Jean10a,Poster,VIPERS: visual prototyping environment for real-time imaging systems,"Jean, F.","Albu, A.B.",,,,,,,,,,,2010,SOFTVIS
142,Beck10a,Poster,Towards automated analysis and visualization of distributed software systems,"Beck, M.","Dollner, J.",,,,,,,,,,,2010,SOFTVIS
143,Mahe10a,Poster,TIE: an interactive visualization of thread interleavings,"Maheswara, G.","Bradbury, B.S.","Collins, C.",,,,,,,,,,2010,SOFTVIS
144,Hump10a,Poster,GEM: graphical explorer of MPI programs,"Humphrey, A.","Derrick, C.","Gopalakrishnan, G.","Tibbitts, B.R.",,,,,,,,,2010,SOFTVIS
145,Bott10a,Poster,Fault forest visualization,"Bottger, S.","Barthel, H.","Ebert, A.",,,,,,,,,,2010,SOFTVIS
146,Chen10a,Demo,xDIVA: automatic animation between debugging break points,"Cheng, Y.-P.","Tsai, H.","Wang, C.","Hsueh, C.",,,,,,,,,2010,SOFTVIS
147,Thor10a,Demo,Understanding relaxed memory consistency through interactive visualization,"Thorsen, O.","Wallace, C.",,,,,,,,,,,2010,SOFTVIS
148,John10a,Demo,Beat: a tool for visualizing the execution of object orientated concurrent programs,"Johnson, P.","Marsland, S.",,,,,,,,,,,2010,SOFTVIS
149,Favr02a,Paper,Visualization of component-based software ,"Favre, J.-M.","Cervantes, H.",,,,,,,,,,,2002,VISSOFT
150,Tayl02a,Paper,Revision Towers,"Taylor, C.M.B.","Munro, M.",,,,,,,,,,,2002,VISSOFT
151,Ploi02a,Paper,Analogical representations of programs,"Ploix, D.",,,,,,,,,,,,2002,VISSOFT
152,Lewe02a,Paper,Metrics-based 3D visualization of large object-oriented programs,"Lewerentz, C.","Simon, F.",,,,,,,,,,,2002,VISSOFT
153,Dieh02a,Paper,Reification of program points for visual execution ,"Diehl, S.","Kerren, A.",,,,,,,,,,,2002,VISSOFT
154,Smit02a,Paper,Runtime visualisation of object oriented software,"Smith, M.P. ","Munro, M.",,,,,,,,,,,2002,VISSOFT
156,Rill02a,Paper,The CONCEPT project - applying source code analysis to reduce information complexity of static and dynamic visualization techniques,"Rilling, J.","Seffah, A.","Bouthlier, C.",,,,,,,,,,2002,VISSOFT
157,Saja02a,Paper,View definitions for language-independent multiple-view program comprehension and editing,"Sajaniemi, J.",,,,,,,,,,,,2002,VISSOFT
158,Male02a,Paper,A task oriented view of software visualization,"Maletic, J.I.","Marcus, A.","Collard, M.L.",,,,,,,,,,2002,VISSOFT
159,Fran02a,Paper,Specifying algorithm visualizations in terms of data flow ,"Francik, J.",,,,,,,,,,,,2002,VISSOFT
160,Eich02a,Paper,Aesthetics of class diagrams,"Eichelberger, H.",,,,,,,,,,,,2002,VISSOFT
161,Ware03a,Keynote,Thinking with Interactive Visualization ,"Ware, C.",,,,,,,,,,,,2003,VISSOFT
162,Eich03a,Paper,UML Class Diagrams-State of the Art in Layout Techniques,"Eichelberger, H.","Wolff von Gudenberg, J.",,,,,,,,,,,2003,VISSOFT
163,Hamo03a,Paper,Techniques for Reducing the Complexity of Object-Oriented Execution Traces,"Hamou-Lhadj, A.","Lethbridge, T.C.",,,,,,,,,,,2003,VISSOFT
164,Hass03a,Paper,ADG: Annotated Dependency Graphs for Software Understanding,"Hassan, A.E.","Holt, R.C.",,,,,,,,,,,2003,VISSOFT
165,Favr03a,Demo,Exploring the Many Architectures of a Very Large Component-Based Software,"Favre, J.-M.","Sanlaville, R.","Estublier, J.",,,,,,,,,,2003,VISSOFT
166,Whee03a,Demo,AutoCode: Using Memex-like Trails to Improve Program Comprehension,"Wheeldon, R.","Counsell, S.","Keenoy, K.",,,,,,,,,,2003,VISSOFT
167,Lanz03a,Demo,CodeCrawler - A Lightweight Software Visualization Tool,"Lanza, M.",,,,,,,,,,,,2003,VISSOFT
168,Eich03b,Demo,Demonstration of Advanced Layout of UML Class Diagrams by SugiBib,"Eichelberger, H.","Wolff von Gudenberg, J.",,,,,,,,,,,2003,VISSOFT
169,Brit03a,Demo,GENISOM:  Self-Organizing Maps Applied in Visualising Large Software Collections,"Brittle, J.","Boldyreff, C.",,,,,,,,,,,2003,VISSOFT
170,Marc03a,Demo,Source Viewer 3D (sv3D):  A System for Visualizing Multi Dimensional Software Analysis Data ,"Marcus, A.","Feng, L.","Maletic, J.I.",,,,,,,,,,2003,VISSOFT
171,Lint03a,Demo,Plugging-in Visualization: Experiences Integrating a Visualization Tool with Eclipse,"Lintern, R.","Storey, M.-A.","Wu, X.","Michaud, J.",,,,,,,,,2003,VISSOFT
172,Lanz03b,Paper,Program Visualization Support for Highly Iterative Development Environments,"Lanza, M.",,,,,,,,,,,,2003,VISSOFT
173,Rill03a,Paper,Challenges in Visualizing and Reconstructing Architectural Views ,"Rilling, J.","Lizotte , M.",,,,,,,,,,,2003,VISSOFT
174,Wu03a,Paper,Requirements for Visualizing Version Control Information,"Wu, X.","Murray, A.","Storey, M.-A.","Lintern, R.",,,,,,,,,2003,VISSOFT
